date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:48:50	176/176	---M--	200	added ('OK')	text/plain	date:Fri,%2008%20Mar%202024%2012:18:49%20GMT	https://www.stryderusa.com/robots.txt		(from )
17:48:51	117420/117420	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Mar%202024%2012:18:49%20GMT	https://www.stryderusa.com/	C:/Users/hp/Downloads/test%201/www.stryderusa.com/index.html	(from )
17:48:52	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2008%20Mar%202024%2012:18:51%20GMT	https://www.stryderusa.com/xmlrpc.php	C:/Users/hp/Downloads/test%201/www.stryderusa.com/xmlrpc.php	(from https://www.stryderusa.com/)
17:48:52	2342/2342	---MCZ	200	added ('OK')	text/css	etag:W/%2264d6009b-926%22	https://www.stryderusa.com/wp-content/cache/min/1/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=1691746459	C:/Users/hp/Downloads/test%201/www.stryderusa.com/wp-content/cache/min/1/wp-content/plugins/contact-form-7/includes/css/stylesee60.css	(from https://www.stryderusa.com/)
17:48:54	38858/38858	---MCZ	200	added ('OK')	text/css	etag:W/%2264d6009b-97ca%22	https://www.stryderusa.com/wp-content/cache/min/1/wp-content/plugins/wp-job-openings/assets/css/general.min.css?ver=1691746459	C:/Users/hp/Downloads/test%201/www.stryderusa.com/wp-content/cache/min/1/wp-content/plugins/wp-job-openings/assets/css/general.minee60.css	(from https://www.stryderusa.com/)
17:48:54	67301/67301	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%228b3314a6a98a9fa7e4269b8ae251dab6-gzip%22	https://www.stryderusa.com/feed/	C:/Users/hp/Downloads/test%201/www.stryderusa.com/feed/index.html	(from https://www.stryderusa.com/)
17:48:54	766/766	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%228b3314a6a98a9fa7e4269b8ae251dab6-gzip%22	https://www.stryderusa.com/comments/feed/	C:/Users/hp/Downloads/test%201/www.stryderusa.com/comments/feed/index.html	(from https://www.stryderusa.com/)
17:48:55	18821/18821	---MCZ	200	added ('OK')	text/css	etag:W/%226573613d-4985%22	https://www.stryderusa.com/wp-content/plugins/wp-job-openings/assets/css/style.min.css?ver=3.4.3	C:/Users/hp/Downloads/test%201/www.stryderusa.com/wp-content/plugins/wp-job-openings/assets/css/style.mincd45.css	(from https://www.stryderusa.com/)
17:48:56	31375/31375	---MCZ	200	added ('OK')	text/css	etag:W/%2264d6009b-7a8f%22	https://www.stryderusa.com/wp-content/cache/min/1/wp-content/plugins/wp-testimonial-with-widget/assets/css/font-awesome.min.css?ver=1691746459	C:/Users/hp/Downloads/test%201/www.stryderusa.com/wp-content/cache/min/1/wp-content/plugins/wp-testimonial-with-widget/assets/css/font-awesome.minee60.css	(from https://www.stryderusa.com/)
17:48:56	1475/1475	---MCZ	200	added ('OK')	text/css	etag:W/%2264d6009b-5c3%22	https://www.stryderusa.com/wp-content/cache/min/1/wp-content/plugins/wp-testimonial-with-widget/assets/css/slick.css?ver=1691746459	C:/Users/hp/Downloads/test%201/www.stryderusa.com/wp-content/cache/min/1/wp-content/plugins/wp-testimonial-with-widget/assets/css/slickee60.css	(from https://www.stryderusa.com/)
17:48:56	17967/17967	---MCZ	200	added ('OK')	text/css	etag:W/%2264d6009b-462f%22	https://www.stryderusa.com/wp-content/cache/min/1/wp-content/plugins/wp-testimonial-with-widget/assets/css/wtwp-public.css?ver=1691746459	C:/Users/hp/Downloads/test%201/www.stryderusa.com/wp-content/cache/min/1/wp-content/plugins/wp-testimonial-with-widget/assets/css/wtwp-publicee60.css	(from https://www.stryderusa.com/)
17:48:57	7454/7454	---MCZ	200	added ('OK')	text/css	etag:W/%22657360e6-1d1e%22	https://www.stryderusa.com/wp-content/plugins/popup-maker/assets/css/pum-site.min.css?ver=1.18.2	C:/Users/hp/Downloads/test%201/www.stryderusa.com/wp-content/plugins/popup-maker/assets/css/pum-site.minff65.css	(from https://www.stryderusa.com/)
17:48:57	19157/19157	---MCZ	200	added ('OK')	text/css	etag:W/%2263b72b94-4ad5%22	https://www.stryderusa.com/wp-content/plugins/pro-pack-for-wp-job-openings/assets/css/intlTelInput.min.css?ver=17.0.16	C:/Users/hp/Downloads/test%201/www.stryderusa.com/wp-content/plugins/pro-pack-for-wp-job-openings/assets/css/intlTelInput.min9633.css	(from https://www.stryderusa.com/)
17:48:57	13060/13060	---MCZ	200	added ('OK')	text/css	etag:W/%2263b72b94-3304%22	https://www.stryderusa.com/wp-content/plugins/pro-pack-for-wp-job-openings/assets/css/style.min.css?ver=3.2.4	C:/Users/hp/Downloads/test%201/www.stryderusa.com/wp-content/plugins/pro-pack-for-wp-job-openings/assets/css/style.mine1e3.css	(from https://www.stryderusa.com/)
17:48:58	824774/824774	---MCZ	200	added ('OK')	text/css	etag:W/%2264d6009b-c95c6%22	https://www.stryderusa.com/wp-content/cache/min/1/wp-content/themes/Divi/style-static.min.css?ver=1691746459	C:/Users/hp/Downloads/test%201/www.stryderusa.com/wp-content/cache/min/1/wp-content/themes/Divi/style-static.minee60.css	(from https://www.stryderusa.com/)
17:48:58	68328/68328	---MCZ	200	added ('OK')	application/json	date:Fri,%2008%20Mar%202024%2012:18:57%20GMT	https://www.stryderusa.com/wp-json/wp/v2/pages/10	C:/Users/hp/Downloads/test%201/www.stryderusa.com/wp-json/wp/v2/pages/10.json	(from https://www.stryderusa.com/)
17:48:58	263132/263132	---MCZ	200	added ('OK')	application/json	date:Fri,%2008%20Mar%202024%2012:18:57%20GMT	https://www.stryderusa.com/wp-json/	C:/Users/hp/Downloads/test%201/www.stryderusa.com/wp-json/index.html	(from https://www.stryderusa.com/)
17:48:59	823/823	---MCZ	200	added ('OK')	text/xml	date:Fri,%2008%20Mar%202024%2012:18:58%20GMT	https://www.stryderusa.com/xmlrpc.php?rsd	C:/Users/hp/Downloads/test%201/www.stryderusa.com/xmlrpc0db0.php	(from https://www.stryderusa.com/)
17:48:59	2480/2480	---MCZ	200	added ('OK')	application/json	date:Fri,%2008%20Mar%202024%2012:18:58%20GMT	https://www.stryderusa.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.stryderusa.com%2F	C:/Users/hp/Downloads/test%201/www.stryderusa.com/wp-json/oembed/1.0/embedace5.json	(from https://www.stryderusa.com/)
17:49:00	2654/2654	---MCZ	200	added ('OK')	text/xml	date:Fri,%2008%20Mar%202024%2012:18:59%20GMT	https://www.stryderusa.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.stryderusa.com%2F&format=xml	C:/Users/hp/Downloads/test%201/www.stryderusa.com/wp-json/oembed/1.0/embed454c	(from https://www.stryderusa.com/)
17:49:00	29390/29390	---MCZ	200	added ('OK')	text/css	etag:W/%2264d6009b-72ce%22	https://www.stryderusa.com/wp-content/cache/min/1/font-awesome/4.6.3/css/font-awesome.min.css?ver=1691746459	C:/Users/hp/Downloads/test%201/www.stryderusa.com/wp-content/cache/min/1/font-awesome/4.6.3/css/font-awesome.minee60.css	(from https://www.stryderusa.com/)
